frame_index,exercise,rep_id,is_form_ok,angles
58,squat,1,True,"{'knee': np.float64(148.4780353618987), 'elbow': np.float64(78.2000912486334)}"
59,squat,1,True,"{'knee': np.float64(139.100488217176), 'elbow': np.float64(76.04499025259207)}"
60,squat,1,True,"{'knee': np.float64(130.90260064461197), 'elbow': np.float64(73.5620495630118)}"
61,squat,1,True,"{'knee': np.float64(125.27231379367657), 'elbow': np.float64(69.18580779787447)}"
62,squat,1,True,"{'knee': np.float64(115.83683958830935), 'elbow': np.float64(63.66903847643307)}"
63,squat,1,True,"{'knee': np.float64(107.48034906824404), 'elbow': np.float64(53.26469985362042)}"
64,squat,1,True,"{'knee': np.float64(103.55874208185293), 'elbow': np.float64(44.92705417194827)}"
65,squat,1,True,"{'knee': np.float64(97.31798403749013), 'elbow': np.float64(43.183947573850745)}"
66,squat,1,True,"{'knee': np.float64(90.20512060064948), 'elbow': np.float64(41.14319901441015)}"
67,squat,2,False,"{'knee': np.float64(86.90371838845897), 'elbow': np.float64(41.2868464913795)}"
68,squat,2,True,"{'knee': np.float64(81.61793438057674), 'elbow': np.float64(41.16046566914614)}"
69,squat,2,True,"{'knee': np.float64(75.88774967230552), 'elbow': np.float64(41.51544743585353)}"
70,squat,2,True,"{'knee': np.float64(71.51083570927028), 'elbow': np.float64(40.05848516792746)}"
71,squat,2,True,"{'knee': np.float64(67.76464873289865), 'elbow': np.float64(42.905121296714356)}"
72,squat,2,True,"{'knee': np.float64(64.87015122771004), 'elbow': np.float64(49.62156396456951)}"
73,squat,2,True,"{'knee': np.float64(59.75309261960268), 'elbow': np.float64(48.512179516867626)}"
74,squat,2,True,"{'knee': np.float64(55.87505824799416), 'elbow': np.float64(49.981879060708515)}"
75,squat,2,True,"{'knee': np.float64(52.9038008419418), 'elbow': np.float64(50.794897376332194)}"
76,squat,2,True,"{'knee': np.float64(50.64780806327224), 'elbow': np.float64(51.49236579972894)}"
77,squat,2,True,"{'knee': np.float64(49.862559503059856), 'elbow': np.float64(55.7134630903912)}"
78,squat,2,True,"{'knee': np.float64(50.43738343883052), 'elbow': np.float64(56.47869716861288)}"
79,squat,2,True,"{'knee': np.float64(52.598950309960856), 'elbow': np.float64(58.204385040250045)}"
80,squat,2,True,"{'knee': np.float64(53.56785177576603), 'elbow': np.float64(57.488085768948515)}"
81,squat,2,True,"{'knee': np.float64(53.557846927273374), 'elbow': np.float64(57.897809126304104)}"
82,squat,2,True,"{'knee': np.float64(57.797603745509605), 'elbow': np.float64(59.15839779979074)}"
83,squat,2,True,"{'knee': np.float64(61.10377487152323), 'elbow': np.float64(56.34175874436176)}"
84,squat,2,True,"{'knee': np.float64(66.38480334913191), 'elbow': np.float64(61.79061331106283)}"
85,squat,2,True,"{'knee': np.float64(72.828804505177), 'elbow': np.float64(63.70704342369586)}"
86,squat,2,True,"{'knee': np.float64(78.9962605254945), 'elbow': np.float64(59.5837145202078)}"
87,squat,2,True,"{'knee': np.float64(85.96545664077644), 'elbow': np.float64(73.15421065195433)}"
88,squat,2,True,"{'knee': np.float64(92.91973433413597), 'elbow': np.float64(76.14877351033039)}"
89,squat,2,True,"{'knee': np.float64(99.3566070835567), 'elbow': np.float64(76.59379172014731)}"
90,squat,2,True,"{'knee': np.float64(107.49508073816759), 'elbow': np.float64(88.22482614072503)}"
91,squat,2,True,"{'knee': np.float64(115.20632427237632), 'elbow': np.float64(87.37609485495823)}"
92,squat,2,True,"{'knee': np.float64(119.94931981791512), 'elbow': np.float64(86.16623520873733)}"
93,squat,2,True,"{'knee': np.float64(127.23579367874135), 'elbow': np.float64(81.29102216153453)}"
94,squat,2,True,"{'knee': np.float64(134.1467251090891), 'elbow': np.float64(85.76763265490558)}"
95,squat,2,True,"{'knee': np.float64(140.6353970460144), 'elbow': np.float64(88.33830549673404)}"
96,squat,2,True,"{'knee': np.float64(148.13163991848685), 'elbow': np.float64(91.7468259557143)}"
97,squat,2,True,"{'knee': np.float64(153.84513997542962), 'elbow': np.float64(98.89523725008213)}"
98,squat,2,True,"{'knee': np.float64(158.4860389199344), 'elbow': np.float64(103.17454265290334)}"
99,pushup,0,True,"{'knee': np.float64(166.06706736111386), 'elbow': np.float64(105.60971470720189)}"
100,pushup,0,True,"{'knee': np.float64(170.78741547405394), 'elbow': np.float64(104.07301605188253)}"
101,pushup,0,True,"{'knee': np.float64(173.3276023920376), 'elbow': np.float64(101.90643674971336)}"
102,pushup,0,True,"{'knee': np.float64(176.55527774034434), 'elbow': np.float64(107.11247303486124)}"
103,pushup,0,True,"{'knee': np.float64(177.1161767970933), 'elbow': np.float64(108.63304360910338)}"
104,pushup,0,True,"{'knee': np.float64(177.5195046928981), 'elbow': np.float64(109.39436345412805)}"
105,pushup,0,True,"{'knee': np.float64(178.1124347594874), 'elbow': np.float64(108.79233652351192)}"
106,pushup,0,True,"{'knee': np.float64(177.23121569288602), 'elbow': np.float64(108.4110115198727)}"
107,pushup,0,True,"{'knee': np.float64(176.53281324290631), 'elbow': np.float64(106.2567731720443)}"
108,pushup,0,True,"{'knee': np.float64(175.5239741752558), 'elbow': np.float64(104.6298408029429)}"
109,pushup,0,True,"{'knee': np.float64(170.64856523966134), 'elbow': np.float64(101.74869183227601)}"
110,squat,2,True,"{'knee': np.float64(159.10941616694447), 'elbow': np.float64(100.43295483138627)}"
111,squat,2,True,"{'knee': np.float64(151.5514906741414), 'elbow': np.float64(89.57473041318661)}"
112,squat,2,True,"{'knee': np.float64(143.12628588441956), 'elbow': np.float64(82.14361537034506)}"
113,squat,2,True,"{'knee': np.float64(135.6983357692618), 'elbow': np.float64(76.41946337877492)}"
114,squat,2,True,"{'knee': np.float64(128.91958520228664), 'elbow': np.float64(77.86084959737885)}"
115,squat,2,True,"{'knee': np.float64(124.66505286756978), 'elbow': np.float64(74.09387003502931)}"
116,squat,2,True,"{'knee': np.float64(117.38480177940357), 'elbow': np.float64(70.14382953777412)}"
117,squat,2,True,"{'knee': np.float64(109.28024601962377), 'elbow': np.float64(57.45136215481236)}"
118,squat,2,True,"{'knee': np.float64(102.52381447744216), 'elbow': np.float64(59.53905247377246)}"
119,squat,2,True,"{'knee': np.float64(98.10830492719174), 'elbow': np.float64(55.44256067876227)}"
120,squat,2,True,"{'knee': np.float64(92.60330674417952), 'elbow': np.float64(50.35421523904444)}"
121,squat,3,False,"{'knee': np.float64(85.51649343494051), 'elbow': np.float64(45.76622327630805)}"
122,squat,3,True,"{'knee': np.float64(80.65215412750109), 'elbow': np.float64(46.36798932906103)}"
123,squat,3,True,"{'knee': np.float64(75.0936603770046), 'elbow': np.float64(43.533933169245714)}"
124,squat,3,True,"{'knee': np.float64(70.14351201579495), 'elbow': np.float64(41.09620700762789)}"
